Município;Situação;Âmbito;Valor do Contrato;Contratada;CNPJ da Contratada;Contratante;Ano do Contrato;Descrição da Obra
Adamantina;Em execução  no prazo;MUNICIPAL;149900;CONSTRUTORA LAIS LTDA;65.437.543/000116;CENTRO UNIVERSITÁRIO DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA DE ENGENHARIA ESPECIALIZADA EM SERVIÇOS DE IMPERMEABILIZAÇÃO NAS LAJES EXPOSTAS DO BLOCO V  CAMPUS II
Adamantina;Em execução  no prazo;MUNICIPAL;190000;CONSTRUTORA LAIS LTDA;65.437.543/000116;CENTRO UNIVERSITÁRIO DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE REFORMA EM TELHADO DE SETORES ADMINISTRATIVOS DO CAMPUS I DO CENTRO UNIVERSITÁRIO DE ADAMANTINA INCLUSOS MÃO DE OBRA E MATERIAIS
Adamantina;Em execução  no prazo;MUNICIPAL;171922,66;RYAN CARLOS LOPES SANTOS LTDA;45.144.840/000166;CENTRO UNIVERSITÁRIO DE ADAMANTINA;2023;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA CONSTRUCAO DE PONTO DE APOIO PARA HORTA SOLIDARIA NO CAMPUS II DO CENTRO UNIVERSITARIO DE ADAMANTINA.
Adamantina;Em execução  no prazo;MUNICIPAL;619313,93;JG ESQUADRIAS METALICAS LTDA;11.011.268/000145;CENTRO UNIVERSITÁRIO DE ADAMANTINA;2022;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE OBRAS DE ACESSIBILIDADE E COBERTURA DE RAMPA NO CAMPUS II (BLOCO) DA UNIFAI
Adamantina;Em execução  no prazo;MUNICIPAL;6778283,62;CONSTRUTORA ALPHA VITORIA LTDA;06.122.379/000199;CENTRO UNIVERSITÁRIO DE ADAMANTINA;2019;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL E MÃO DE OBRA PARA CONTINUAÇÃO/CONCLUSÃO DO BLOCO V  MEDICINA CAMPUS II DO CENTRO UNIVERSITARIO DE ADAMANTINA  UNIFAI
Adamantina;Paralisada;MUNICIPAL;3526457,53;MUNDIAL ENGENHARIA SANTA FE LTDA;71.852.586/000160;CENTRO UNIVERSITÁRIO DE ADAMANTINA;2018;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE MATERIAL E MÃO DE OBRA PARA CONSTRUÇÃO DO BLOCO V  MEDICINA CAMPUS II DO CENTRO UNIVERSITÁRIO DE ADAMANTINA  UNIFAI
Adamantina;Em execução  no prazo;MUNICIPAL;499000;FLANT CONSTRUTORA LTDA;46.570.531/000110;PREFEITURA MUNICIPAL DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE REVITALIZAÇÃO DO TERMINAL RODOVIÁRIO LOCALIZADO NA AVENIDA ANTÔNIO TIVERON N 333 VILA JARDIM ADAMANTINA/SP CONFORME CONVÊNIO ESTADUAL 078/2023.
Adamantina;Em execução  no prazo;MUNICIPAL;156500;CONSTRUTORA AMPLA LTDA;40.718.738/000103;PREFEITURA MUNICIPAL DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE AMPLIAÇÃO COM A CONSTRUÇÃO DE 02 (DUAS) SALAS NA EMEI CICLO I CRIANÇA FELIZ LOCALIZADA NA RUA PALMEIRA N 25 PARQUE ITAIPUS ADAMANTINA/SP.
Adamantina;Em execução  no prazo;MUNICIPAL;223301,77;ENGEST ENGENHARIA E CONSTRUCOES LTDA;45.687.751/000166;PREFEITURA MUNICIPAL DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE AMPLIAÇÃO COM A CONSTRUÇÃO DE 03 (TRÊS) SALAS NA EMEI CICLO II DOMINGOS LATINE LOCALIZADA NA RUA HERMENEGILDO LOPES PEDROSO N 377  VILA JARDIM EM ADAMANTINA/SP.
Adamantina;Em execução  no prazo;MUNICIPAL;793219,24;NOROESTE PAULISTA CONSTRUTORA LTDA;37.441.846/000177;PREFEITURA MUNICIPAL DE ADAMANTINA;2023;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRAS DE CONSTRUÇÃO DE 09 (NOVE) SALAS DE AULA NA REDE MUNICIPAL DE ENSINO DO MUNICÍPIO.
Adamantina;Em execução  no prazo;MUNICIPAL;1000000;VITORIA & VITORIA CONSTRUCOES LTDA;23.844.408/000145;PREFEITURA MUNICIPAL DE ADAMANTINA;2025;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE "CONSTRUÇÃO DE PONTE SOBRE O CÓRREGO CALDEIRAS" LOCALIZADA NO PROLONGAMENTO DA RUA SANTA CATARINA ANEXO AO CONJUNTO HABITACIONAL MÁRIO COVAS II NO MUNICÍPIO DE ADAMANTINA/SP.
Adamantina;Em execução  no prazo;MUNICIPAL;259000;CONSTRUTORA LAIS LTDA;65.437.543/000116;PREFEITURA MUNICIPAL DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE CALDEIRARIA VISANDO A FABRICAÇÃO E MONTAGEM DA ESTRUTURA METÁLICA PARA EXECUÇÃO DE DUAS PONTES RURAIS SENDO  PONTE USINA DE LIXO  ESTRADA ADM 445 CÓRREGO TOCANTINS E PONTE RIBEIRÃO DOS RANCHOS ADM 353 ESTRADA VICINAL GERALDO JORDÃO LOCALIZADAS NO MUNICÍPIO DE ADAMANTINA/SP.
Adamantina;Em execução  no prazo;MUNICIPAL;222433,59;ENGEST ENGENHARIA E CONSTRUCOES LTDA;45.687.751/000166;PREFEITURA MUNICIPAL DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE AMPLIAÇÃO COM A CONSTRUÇÃO DE 02 (DUAS) SALAS E 01 (UM) BANHEIRO NA EMEI CICLO I CECÍLIA MEIRELES LOCALIZADA NA RUA JOSÉ VICENTE N 05 ADAMANTINA/SP.
Adamantina;Em execução  no prazo;MUNICIPAL;478800;CONSTRUTORA AMPLA LTDA;40.718.738/000103;PREFEITURA MUNICIPAL DE ADAMANTINA;2024;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE AMPLIAÇÃO DE SALAS NA EMEI CICLO I SONHO DE CRIANÇA LOCALIZADA NA RUA ANTÔNIO PIRES RIBEIRO N 55 CONJUNTO HABITACIONAL GOVERNADOR MÁRIO COVAS JR. ADAMANTINA/SP.
Aguaí;Em execução  no prazo;MUNICIPAL;297110,1;JUSTA CONSTRUTORA LTDA;14.954.601/000148;PREFEITURA MUNICIPAL DE AGUAÍ;2024;CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DE EDIFICAÇÃO DESTINADA A UBS  UNIDADE BÁSICA DE SAÚDE NO BAIRRO CIDADE NOVA COM FORNECIMENTO DE MATERIAIS MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS.
Aguaí;Em execução  no prazo;MUNICIPAL;209969,22;JUSTA CONSTRUTORA LTDA;14.954.601/000148;PREFEITURA MUNICIPAL DE AGUAÍ;2024;CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DE EDIFICAÇÃO DESTINADA A UBS  UNIDADE BÁSICA DE SAÚDE NO BAIRRO CIDADE NOVA COM FORNECIMENTO DE MATERIAIS MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS.
Aguaí;Em execução  no prazo;MUNICIPAL;1498054,38;JUSTA CONSTRUTORA LTDA;14.954.601/000148;PREFEITURA MUNICIPAL DE AGUAÍ;2023;CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DE EDIFICAÇÃO DESTINADA A UBS  UNIDADE BÁSICA DE SAÚDE NO BAIRRO CIDADE NOVA COM FORNECIMENTO DE MATERIAIS MÃO DE OBRA E EQUIPAMENTOS NECESSÁRIOS.
